mapNUm 	 mapName 	 width 	 height 	 StartX 	 StartY  	 GoalX 	 GoalY 	 optimalCost 	 ForwardverticesNum 	 BackwardverticesNum 	 times 	 OSME
1	03d.ma	274	391	166	221	168	223	2.82842712474	 1	 1 5e-06  2  0
2	03d.ma	274	391	108	170	107	169	1.41421356237	 1	 1 6e-06  1  0
3	03d.ma	274	391	124	227	125	227	1	 1	 1 7e-06  1  0
4	03d.ma	274	391	45	191	45	191	0	 0	 0 0  0  0
5	03d.ma	274	391	96	320	96	322	2	 1	 1 4e-06  2  0
6	03d.ma	274	391	188	167	191	168	3.41421356237	 2	 1 6e-06  3  0
7	03d.ma	274	391	220	350	221	352	2.41421356237	 1	 1 5e-06  2  0
8	03d.ma	274	391	220	346	221	348	2.41421356237	 1	 1 6e-06  2  0
9	03d.ma	274	391	182	176	183	178	2.41421356237	 1	 1 7e-06  2  0
10	03d.ma	274	391	101	212	101	212	0	 0	 0 0  0  0
11	03d.ma	274	391	129	238	125	236	4.82842712474	 2	 2 9e-06  4  0
12	03d.ma	274	391	118	72	118	77	5	 3	 2 9e-06  5  0
13	03d.ma	274	391	70	348	67	351	4.24264068711	 2	 1 6e-06  3  0
14	03d.ma	274	391	125	197	132	195	7.82842712474	 9	 3 1.3e-05  12  0
15	03d.ma	274	391	110	76	103	75	7.41421356237	 7	 3 1.1e-05  10  0
16	03d.ma	274	391	119	3	124	3	5	 3	 2 9e-06  5  0
17	03d.ma	274	391	99	224	106	223	7.41421356237	 7	 3 1.4e-05  10  0
18	03d.ma	274	391	139	163	136	157	7.24264068711	 4	 3 1.1e-05  7  0
19	03d.ma	274	391	115	42	118	39	4.24264068711	 2	 1 7e-06  3  0
20	03d.ma	274	391	115	234	110	229	7.07106781185	 3	 2 8e-06  5  0
21	03d.ma	274	391	168	74	177	74	9	 5	 4 1.1e-05  9  0
22	03d.ma	274	391	102	233	108	226	9.48528137422	 4	 3 1.1e-05  7  0
23	03d.ma	274	391	152	82	148	89	8.65685424948	 5	 3 1e-05  8  0
24	03d.ma	274	391	92	239	85	233	9.48528137422	 3	 4 1e-05  7  0
25	03d.ma	274	391	125	104	123	112	8.82842712474	 6	 6 1.1e-05  12  0
26	03d.ma	274	391	60	345	55	351	8.07106781185	 3	 3 7e-06  6  0
27	03d.ma	274	391	123	69	131	74	10.07106781185	 5	 4 1.3e-05  9  0
28	03d.ma	274	391	117	305	109	307	8.82842712474	 6	 6 1.1e-05  12  0
29	03d.ma	274	391	140	71	149	71	9	 5	 4 1e-05  9  0
30	03d.ma	274	391	188	119	179	122	10.24264068711	 9	 5 1.4e-05  14  0
31	03d.ma	274	391	109	309	109	322	13	 7	 6 9e-06  13  0
32	03d.ma	274	391	266	343	255	349	13.48528137422	 11	 5 1.8e-05  16  0
33	03d.ma	274	391	99	309	88	320	15.55634918607	 6	 5 1.7e-05  11  0
34	03d.ma	274	391	110	205	105	215	12.07106781185	 8	 6 1.2e-05  14  0
35	03d.ma	274	391	124	126	125	114	12.41421356237	 11	 6 1.2e-05  17  0
36	03d.ma	274	391	84	356	80	342	15.65685424948	 9	 6 1.1e-05  15  0
37	03d.ma	274	391	84	221	96	218	13.24264068711	 13	 9 1.5e-05  22  0
38	03d.ma	274	391	163	231	155	222	15.82842712474	 22	 32 2.1e-05  48  0
39	03d.ma	274	391	157	128	163	115	15.48528137422	 15	 7 1.5e-05  22  0
40	03d.ma	274	391	111	117	122	108	14.72792206133	 6	 5 1.3e-05  11  0
41	03d.ma	274	391	167	264	181	255	17.72792206133	 10	 8 1.7e-05  18  0
42	03d.ma	274	391	97	347	105	334	16.31370849896	 12	 6 1.6e-05  18  0
43	03d.ma	274	391	105	356	91	361	16.07106781185	 15	 11 1.8e-05  26  0
44	03d.ma	274	391	39	166	25	173	17.48528137422	 16	 28 2.8e-05  44  0
45	03d.ma	274	391	135	126	119	123	17.24264068711	 19	 13 2e-05  32  0
46	03d.ma	274	391	157	116	169	126	16.1421356237	 6	 6 2e-05  12  0
47	03d.ma	274	391	180	168	170	183	19.1421356237	 13	 7 2.4e-05  20  0
48	03d.ma	274	391	184	171	167	171	17	 9	 8 1.6e-05  17  0
49	03d.ma	274	391	109	348	98	333	19.55634918607	 10	 7 1.5e-05  17  0
50	03d.ma	274	391	158	116	174	118	16.82842712474	 14	 14 2.1e-05  28  0
51	03d.ma	274	391	99	212	117	201	22.55634918607	 14	 11 2e-05  25  0
